epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/pcc_epoch,val/loss_epoch,val/pcc_epoch
,9.999720103387007e-06,9.999720103387007e-06,4799,,,,,
,9.999720103387007e-06,9.999720103387007e-06,4799,,,,,
,9.999720103387007e-06,9.999720103387007e-06,4799,,,,,
0,,,4799,,19.825231552124023,,,
,9.999710014289008e-06,9.999710014289008e-06,4849,,,,,
,9.999710014289008e-06,9.999710014289008e-06,4849,,,,,
,9.999710014289008e-06,9.999710014289008e-06,4849,,,,,
0,,,4849,,5.845466613769531,,,
,9.999699746566638e-06,9.999699746566638e-06,4899,,,,,
,9.999699746566638e-06,9.999699746566638e-06,4899,,,,,
,9.999699746566638e-06,9.999699746566638e-06,4899,,,,,
0,,,4899,,13.281168937683105,,,
,9.999689300220264e-06,9.999689300220264e-06,4949,,,,,
,9.999689300220264e-06,9.999689300220264e-06,4949,,,,,
,9.999689300220264e-06,9.999689300220264e-06,4949,,,,,
0,,,4949,,17.194738388061523,,,
,9.999678675250258e-06,9.999678675250258e-06,4999,,,,,
,9.999678675250258e-06,9.999678675250258e-06,4999,,,,,
,9.999678675250258e-06,9.999678675250258e-06,4999,,,,,
0,,,4999,,23.298933029174805,,,
,9.999667871657e-06,9.999667871657e-06,5049,,,,,
,9.999667871657e-06,9.999667871657e-06,5049,,,,,
,9.999667871657e-06,9.999667871657e-06,5049,,,,,
0,,,5049,,21.6884765625,,,
,9.999656889440876e-06,9.999656889440876e-06,5099,,,,,
,9.999656889440876e-06,9.999656889440876e-06,5099,,,,,
,9.999656889440876e-06,9.999656889440876e-06,5099,,,,,
0,,,5099,,31.611801147460938,,,
,9.999645728602281e-06,9.999645728602281e-06,5149,,,,,
,9.999645728602281e-06,9.999645728602281e-06,5149,,,,,
,9.999645728602281e-06,9.999645728602281e-06,5149,,,,,
0,,,5149,,17.7281551361084,,,
,9.99963438914161e-06,9.99963438914161e-06,5199,,,,,
,9.99963438914161e-06,9.99963438914161e-06,5199,,,,,
,9.99963438914161e-06,9.99963438914161e-06,5199,,,,,
0,,,5199,,32.56602478027344,,,
,9.99962287105927e-06,9.99962287105927e-06,5249,,,,,
,9.99962287105927e-06,9.99962287105927e-06,5249,,,,,
,9.99962287105927e-06,9.99962287105927e-06,5249,,,,,
0,,,5249,,14.72030258178711,,,
,9.999611174355674e-06,9.999611174355674e-06,5299,,,,,
,9.999611174355674e-06,9.999611174355674e-06,5299,,,,,
,9.999611174355674e-06,9.999611174355674e-06,5299,,,,,
0,,,5299,,21.714431762695312,,,
,9.999599299031237e-06,9.999599299031237e-06,5349,,,,,
,9.999599299031237e-06,9.999599299031237e-06,5349,,,,,
,9.999599299031237e-06,9.999599299031237e-06,5349,,,,,
0,,,5349,,6.876408100128174,,,
,9.999587245086384e-06,9.999587245086384e-06,5399,,,,,
,9.999587245086384e-06,9.999587245086384e-06,5399,,,,,
,9.999587245086384e-06,9.999587245086384e-06,5399,,,,,
0,,,5399,,35.81270980834961,,,
,9.999575012521547e-06,9.999575012521547e-06,5449,,,,,
,9.999575012521547e-06,9.999575012521547e-06,5449,,,,,
,9.999575012521547e-06,9.999575012521547e-06,5449,,,,,
0,,,5449,,16.232820510864258,,,
,9.999562601337162e-06,9.999562601337162e-06,5499,,,,,
,9.999562601337162e-06,9.999562601337162e-06,5499,,,,,
,9.999562601337162e-06,9.999562601337162e-06,5499,,,,,
0,,,5499,,10.593636512756348,,,
,9.999550011533671e-06,9.999550011533671e-06,5549,,,,,
,9.999550011533671e-06,9.999550011533671e-06,5549,,,,,
,9.999550011533671e-06,9.999550011533671e-06,5549,,,,,
0,,,5549,,21.811691284179688,,,
,9.999537243111528e-06,9.999537243111528e-06,5599,,,,,
,9.999537243111528e-06,9.999537243111528e-06,5599,,,,,
,9.999537243111528e-06,9.999537243111528e-06,5599,,,,,
0,,,5599,,19.428083419799805,,,
,9.999524296071185e-06,9.999524296071185e-06,5649,,,,,
,9.999524296071185e-06,9.999524296071185e-06,5649,,,,,
,9.999524296071185e-06,9.999524296071185e-06,5649,,,,,
0,,,5649,,14.065790176391602,,,
,9.999511170413108e-06,9.999511170413108e-06,5699,,,,,
,9.999511170413108e-06,9.999511170413108e-06,5699,,,,,
,9.999511170413108e-06,9.999511170413108e-06,5699,,,,,
0,,,5699,,13.277782440185547,,,
,9.999497866137762e-06,9.999497866137762e-06,5749,,,,,
,9.999497866137762e-06,9.999497866137762e-06,5749,,,,,
,9.999497866137762e-06,9.999497866137762e-06,5749,,,,,
0,,,5749,,8.841423034667969,,,
,9.999484383245623e-06,9.999484383245623e-06,5799,,,,,
,9.999484383245623e-06,9.999484383245623e-06,5799,,,,,
